ecoregion,commodity,acres_harvested,total_production,total_value,yield_per_acre
CntlPlains,CORN,920008.2182797436,160421245.0189338,711534967.0149387,175.63832204382888
CntlPlains,SOYBEANS,833692.2341362339,42679306.6062541,505969140.2428976,50.6864316202276
CntlPlains,WHEAT,915862.6471076902,36853881.6834152,238305731.146442,40.34786493062145
EastHghlnds,CORN,998260.5414617641,150813924.4432878,684592184.3106021,150.54905201571876
EastHghlnds,SOYBEANS,934578.9375173893,43545151.10794059,518510479.8054716,44.50189093110392
EastHghlnds,WHEAT,946234.8045055296,52624796.90201354,338985982.15985525,54.605619288718046
NorthEast,CORN,957266.9210939923,114006528.0213594,505351715.48744947,120.92610535698732
NorthEast,POTATOES,1005641.4137362022,331001149.9006319,2796374703.1888404,323.0541759255469
NorthEast,SOYBEANS,967331.3210590369,35626635.868555486,426749361.0834757,37.47346987790121
SECstPlain,CORN,1016070.2209901933,110007140.2533081,494427168.3380819,109.20691270665961
SECstPlain,COTTON,963600.7430276024,819882667.1788596,538919781.5206913,855.6306407318855
SECstPlain,PEANUTS,940801.4256607835,3622725444.669531,800130616.4807124,3787.13634712227
SEPlains,CORN,896582.2138096595,114613729.73089729,524288692.6143046,126.01517401242964
SEPlains,COTTON,982927.8584570251,1002107154.683155,642542201.2035131,1001.3049060944685
SEPlains,RICE,1008789.159884296,6871855347.384677,96629274071.7527,7016.533015804356
WestMnts,BARLEY,867743.0550952856,57186827.792827934,315538777.5167201,64.90792399674224
WestMnts,POTATOES,892567.6381783282,337941869.21195716,2797167442.612186,390.76918553372326
WestMnts,WHEAT,925874.6194864613,39983359.42831832,259200784.32697618,44.26080295506075
WestPlains,CORN,968409.3096431115,89948827.14637192,421255464.9976144,99.00161220538699
WestPlains,SORGHUM,1020636.2652284899,64736196.612927616,261568928.23502064,64.25234333814447
WestPlains,WHEAT,930367.2940729433,32625945.565574836,217219378.29014748,35.88026443047562
WestXeric,COTTON,827284.8218599311,997384408.269611,638005875.9553986,1241.5643542750518
WestXeric,RICE,993819.3645176998,7844230346.057385,107528599967.1945,8026.6393200032135
WestXeric,WHEAT,958418.8315479668,53836913.79981775,353947401.97059584,55.126029034252866
